Theta reading,dtheta,"N(0,0)",sqrt(N)
0,0.5,109.9,10.48332008
0,0.5,103.9,10.19313494
0,0.5,110.9,10.53090689
0,0.5,117.9,10.85817664
0,0.5,107.9,10.38749248
0,0.5,112.9,10.62544117
5,0.5,117.9,10.85817664
5,0.5,112.9,10.62544117
5,0.5,131.9,11.48477253
5,0.5,135.9,11.65761554
5,0.5,131.9,11.48477253
5,0.5,120.9,10.99545361
10,0.5,118.9,10.90412766
10,0.5,112.9,10.62544117
10,0.5,111.9,10.57827963
10,0.5,143.9,11.99583261
10,0.5,115.9,10.76568623
10,0.5,144.9,12.03744159
10,0.5,135.9,11.65761554
10,0.5,115.9,10.76568623
10,0.5,129.9,11.39736812
15,0.5,126.9,11.26499001
15,0.5,94.9,9.741663102
15,0.5,98.9,9.944847912
15,0.5,105.9,10.29077257
15,0.5,103.9,10.19313494
15,0.5,104.9,10.2420701
15,0.5,110.9,10.53090689
15,0.5,108.9,10.43551628
15,0.5,106.9,10.33924562
15,0.5,120.9,10.99545361
15,0.5,114.9,10.71914176
15,0.5,116.9,10.81203034
15,0.5,120.9,10.99545361
15,0.5,97.9,9.894442885
20,0.5,101.9,10.09455299
20,0.5,90.9,9.534149149
20,0.5,111.9,10.57827963
20,0.5,108.9,10.43551628
20,0.5,102.9,10.14396372
20,0.5,81.9,9.049861877
20,0.5,106.9,10.33924562
25,0.5,84.9,9.2141196
25,0.5,72.9,8.538149682
25,0.5,82.9,9.104943712
25,0.5,87.9,9.375499987
25,0.5,99.9,9.994998749
25,0.5,89.9,9.481561053
25,0.5,91.9,9.586448769
25,0.5,71.9,8.47938677
30,0.5,69.9,8.360621986
30,0.5,78.9,8.882567196
30,0.5,60.9,7.803845206
30,0.5,76.9,8.769264507
30,0.5,73.9,8.59651092
30,0.5,57.9,7.609204952
30,0.5,60.9,7.803845206
35,0.5,46.9,6.848357467
35,0.5,48.9,6.992853495
35,0.5,49.9,7.063993205
35,0.5,53.9,7.341661937
35,0.5,41.9,6.473020933
35,0.5,31.9,5.648008499
35,0.5,47.9,6.920982589
35,0.5,49.9,7.063993205
40,0.5,33.9,5.822370651
40,0.5,23.9,4.888762625
40,0.5,15.9,3.987480407
40,0.5,23.9,4.888762625
40,0.5,23.9,4.888762625
40,0.5,19.9,4.460941605
40,0.5,33.9,5.822370651
40,0.5,21.9,4.679743583
45,0.5,9.9,3.146426545
45,0.5,8.9,2.983286778
45,0.5,10.9,3.301514804
45,0.5,11.9,3.449637662
45,0.5,11.9,3.449637662
45,0.5,12.9,3.591656999
45,0.5,10.9,3.301514804
50,0.5,2.97,1.723368794
50,0.5,2.9,1.702938637
50,0.5,0.9,0.948683298
50,0.5,5.9,2.42899156
50,0.5,0.9,0.948683298
50,0.5,0.9,0.948683298
50,0.5,0.9,0.948683298
55,0.5,0.9,0.948683298
55,0.5,0.97,0.98488578
55,0.5,0.9,0.948683298
55,0.5,0.9,0.948683298
55,0.5,1.97,1.403566885
55,0.5,1.97,1.403566885
55,0.5,0.9,0.948683298
55,0.5,0.9,0.948683298
55,0.5,0.9,0.948683298
55,0.5,0.96,0.979795897
55,0.5,0.97,0.98488578
60,0.5,3.96,1.989974874
60,0.5,7.9,2.810693865
60,0.5,6.9,2.626785107
60,0.5,9.9,3.146426545
60,0.5,9.9,3.146426545
60,0.5,9.9,3.146426545
60,0.5,9.9,3.146426545
60,0.5,13.9,3.728270376
60,0.5,10.9,3.301514804
60,0.5,7.9,2.810693865
65,0.5,21.9,4.679743583
65,0.5,18.9,4.347413024
65,0.5,12.9,3.591656999
65,0.5,23.9,4.888762625
65,0.5,20.9,4.57165178
65,0.5,19.9,4.460941605
65,0.5,22.9,4.785394446
65,0.5,20.9,4.57165178
70,0.5,40.9,6.395310782
70,0.5,41.9,6.473020933
70,0.5,38.9,6.236986452
70,0.5,40.9,6.395310782
70,0.5,49.9,7.063993205
70,0.5,43.9,6.625707509
70,0.5,34.9,5.907622195
70,0.5,31.9,5.648008499
70,0.5,35.9,5.991660872
70,0.5,42.9,6.549809158
75,0.5,59.9,7.739509028
75,0.5,54.9,7.409453421
75,0.5,58.9,7.674633542
75,0.5,69.9,8.360621986
75,0.5,65.9,8.117881497
75,0.5,59.9,7.739509028
75,0.5,60.9,7.803845206
75,0.5,57.9,7.609204952
75,0.5,52.9,7.273238618
75,0.5,59.9,7.739509028
75,0.5,50.9,7.134423593
75,0.5,53.9,7.341661937
80,0.5,86.9,9.322016949
80,0.5,79.9,8.938679992
80,0.5,87.9,9.375499987
80,0.5,82.9,9.104943712
80,0.5,82.9,9.104943712
80,0.5,78.9,8.882567196
80,0.5,93.9,9.690201236
80,0.5,67.9,8.24014563
80,0.5,73.9,8.59651092
80,0.5,74.9,8.654478609
80,0.5,71.9,8.47938677
80,0.5,80.9,8.994442729
80,0.5,68.9,8.300602388
85,0.5,104.9,10.2420701
85,0.5,117.9,10.85817664
85,0.5,90.9,9.534149149
85,0.5,72.9,8.538149682
85,0.5,93.9,9.690201236
85,0.5,105.9,10.29077257
85,0.5,102.9,10.14396372
85,0.5,91.9,9.586448769
85,0.5,116.9,10.81203034
85,0.5,98.9,9.944847912
90,0.5,116.9,10.81203034
90,0.5,105.9,10.29077257
90,0.5,120.9,10.99545361
90,0.5,121.9,11.0408333
90,0.5,108.9,10.43551628
90,0.5,93.9,9.690201236
90,0.5,117.9,10.85817664
90,0.5,120.9,10.99545361
90,0.5,92.9,9.638464608
90,0.5,120.9,10.99545361
90,0.5,106.9,10.33924562
